Energy,Value,Error,Cells
0.00019,1.2129174043145115e-08,0.01880213423872739,5.04 cm
0.0002,1.2233429568671124e-08,0.018677228135469466,5.04 cm
0.00021,1.2339979311671388e-08,0.018546482758908273,5.04 cm
0.00022,1.2438309537491633e-08,0.018429344116474726,5.04 cm
0.00023,1.254808443775725e-08,0.018314469741440086,5.04 cm
0.00024,1.2627294022163637e-08,0.018216805356134652,5.04 cm
0.000255,1.2746847729005524e-08,0.018071688399597947,5.04 cm
0.00027,1.2846652444828407e-08,0.017954167941694868,5.04 cm
0.00028,1.291227373733115e-08,0.017876985856445458,5.04 cm
0.0003,1.3037447836769525e-08,0.017742222778428567,5.04 cm
0.00032,1.3111004591652906e-08,0.01765956977669219,5.04 cm
0.00034,1.3151734064775459e-08,0.017621502815884343,5.04 cm
0.00036,1.3176603966061017e-08,0.01759389149855057,5.04 cm
0.00038,1.322008835369133e-08,0.01754453898956696,5.04 cm
0.0004,1.328374026136968e-08,0.017481709539391502,5.04 cm
0.000425,1.3392668094468476e-08,0.017362797796189454,5.04 cm
0.00045,1.3487428404832928e-08,0.017261407917507673,5.04 cm
0.000475,1.3564061107119682e-08,0.01717851493600842,5.04 cm
0.0005,1.3656583269554293e-08,0.01708258496577789,5.04 cm
0.000525,1.3743126379662052e-08,0.01699287932697416,5.04 cm
0.00055,1.3821591768297147e-08,0.016911329488535874,5.04 cm
0.000575,1.3913647302374547e-08,0.01682047027439637,5.04 cm
0.0006,1.4005321007488345e-08,0.016733095630488876,5.04 cm
0.00063,1.410311417048236e-08,0.01663998117431424,5.04 cm
0.00066,1.4206868777185979e-08,0.01655842567841914,5.04 cm
0.00069,1.428990638230632e-08,0.01647858572390735,5.04 cm
0.00072,1.4354848816275478e-08,0.016414015870694396,5.04 cm
0.00076,1.4442329816944312e-08,0.01633108233510181,5.04 cm
0.0008,1.4542745737139751e-08,0.016236339330528426,5.04 cm
0.00084,1.4632746160229814e-08,0.016153192089651245,5.04 cm
0.00088,1.4717572893540031e-08,0.016076264141638937,5.04 cm
0.00092,1.4804373645521284e-08,0.01600179123566803,5.04 cm
0.00096,1.488004297109041e-08,0.015933856927919807,5.04 cm
0.001,1.494853771189811e-08,0.015872580674056273,5.04 cm
0.00105,1.5030483119364073e-08,0.015801408214603317,5.04 cm
0.0011,1.508702763305736e-08,0.015753801266576474,5.04 cm
0.00115,1.5149627657547154e-08,0.015698596681524558,5.04 cm
0.0012,1.5237915874301654e-08,0.0156214765682794,5.04 cm
0.001275,1.5399174200954203e-08,0.015495962838255595,5.04 cm
0.00135,1.5522916905163742e-08,0.01539425976347826,5.04 cm
0.001425,1.5643275511167977e-08,0.015296666170234452,5.04 cm
0.0015,1.5752088888254625e-08,0.015209089802692689,5.04 cm
0.0016,1.5888575134124307e-08,0.01509843966508714,5.04 cm
0.0017,1.6023680493693592e-08,0.014995520382682629,5.04 cm
0.0018,1.6148640509416936e-08,0.014900377978875142,5.04 cm
0.0019,1.627305929185207e-08,0.014808058618193665,5.04 cm
0.002,1.6368518386290684e-08,0.014734062956459938,5.04 cm
0.0021,1.6444789648539073e-08,0.014676094635995217,5.04 cm
0.0022,1.6502323488491205e-08,0.014632662846376458,5.04 cm
0.0023,1.653902661226337e-08,0.014604544478935806,5.04 cm
0.0024,1.658081617048304e-08,0.014574690746368702,5.04 cm
0.00255,1.6633067425259154e-08,0.014535599621476793,5.04 cm
0.0027,1.6699993145592644e-08,0.014487122564935615,5.04 cm
0.0028,1.6764882290325377e-08,0.014440155108303005,5.04 cm
0.003,1.6884087068514853e-08,0.014355131776565788,5.04 cm
0.0032,1.7005376150925525e-08,0.014271541776359213,5.04 cm
0.0034,1.7130394553116603e-08,0.014188400978108778,5.04 cm
0.0036,1.7272126776773802e-08,0.014098877325037194,5.04 cm
0.0038,1.738378070185422e-08,0.01402490440333785,5.04 cm
0.004,1.7458786460583693e-08,0.013975183318779432,5.04 cm
0.00425,1.7575454671119347e-08,0.013901143451418293,5.04 cm
0.0045,1.769301953098093e-08,0.013827015139647517,5.04 cm
0.00475,1.781938730931522e-08,0.013751268457573951,5.04 cm
0.005,1.7948825937821563e-08,0.013671344309401938,5.04 cm
0.00525,1.8099705838141896e-08,0.01358728984174041,5.04 cm
0.0055,1.8228845583539597e-08,0.01351867145964402,5.04 cm
0.00575,1.83265683120646e-08,0.013460284645799297,5.04 cm
0.006,1.8434175962254056e-08,0.013399121552959319,5.04 cm
0.0063,1.8555445119124155e-08,0.013331161814649217,5.04 cm
0.0066,1.8717682577572927e-08,0.013250817563039311,5.04 cm
0.0069,1.8840844660797765e-08,0.013184940504006162,5.04 cm
0.0072,1.895957307955207e-08,0.013124791519036241,5.04 cm
0.0076,1.9073423447942516e-08,0.013066973658128955,5.04 cm
0.008,1.9165813082363066e-08,0.013025696019946558,5.04 cm
0.0084,1.925042758549691e-08,0.012982109839011482,5.04 cm
0.0088,1.9396844164728176e-08,0.012914758927291181,5.04 cm
0.0092,1.9551968205191242e-08,0.012847292948947845,5.04 cm
0.0096,1.9791472276147885e-08,0.012753063363736588,5.04 cm
0.01,2.0063915119215655e-08,0.012640255718442097,5.04 cm
0.0105,2.045761924161422e-08,0.012489646996945188,5.04 cm
0.011,2.0829231963514422e-08,0.012345494621477857,5.04 cm
0.0115,2.1155391283667647e-08,0.012218213734843891,5.04 cm
0.012,2.1458174237647668e-08,0.012108363352124773,5.04 cm
0.01275,2.1896328533994433e-08,0.011960489483204833,5.04 cm
0.0135,2.2291609554406513e-08,0.011835743937497404,5.04 cm
0.01425,2.2737616830663623e-08,0.01169419164703528,5.04 cm
0.015,2.3168546033320524e-08,0.01157512419387619,5.04 cm
0.016,2.3485457585723066e-08,0.011482159000311232,5.04 cm
0.017,2.401687175289043e-08,0.011363848662940965,5.04 cm
0.018,2.4787452646978635e-08,0.011215267266258403,5.04 cm
0.019,2.5824711415522777e-08,0.011023070213033578,5.04 cm
0.02,2.7055943004652943e-08,0.010930903225910917,5.04 cm
0.021,2.8345051338387015e-08,0.01071352668884878,5.04 cm
0.022,3.002456125201531e-08,0.010822164276626826,5.04 cm
0.023,3.206949167827126e-08,0.010675332532973838,5.04 cm
0.024,3.4607092679890467e-08,0.010462768176314736,5.04 cm
0.0255,4.0946009537244895e-08,0.010117328981244286,5.04 cm
0.027,4.439183057986742e-08,0.009952719590435352,5.04 cm
0.028,4.479084370036788e-08,0.009961594368422446,5.04 cm
0.03,4.5623532041047457e-08,0.009942112730422928,5.04 cm
0.032,4.747771943782938e-08,0.009919231356234922,5.04 cm
0.034,5.051564149562378e-08,0.00993285135197241,5.04 cm
0.036,5.383102438901849e-08,0.009936042546970301,5.04 cm
0.038,5.798824747021789e-08,0.010126834462874063,5.04 cm
0.04,6.364974228644785e-08,0.01059891134300268,5.04 cm
0.0425,7.139679246247598e-08,0.010440225522042731,5.04 cm
0.045,8.067611670881419e-08,0.010278598399488758,5.04 cm
0.0475,9.193562264222899e-08,0.010154873572289592,5.04 cm
0.05,1.0128644714230926e-07,0.01008824378679476,5.04 cm
0.0525,1.0647158252336855e-07,0.010046533160466827,5.04 cm
0.055,1.1511505033299358e-07,0.010031546236984006,5.04 cm
0.0575,1.2772175450169205e-07,0.010023798685567846,5.04 cm
0.06,1.4142496580214567e-07,0.010048289820073452,5.04 cm
0.063,1.5889679190255633e-07,0.010174909184888427,5.04 cm
0.066,1.7310606559517907e-07,0.010166310936631064,5.04 cm
0.069,1.9009940069096208e-07,0.009918144778514437,5.04 cm
0.072,2.1526392194624766e-07,0.009761608606946193,5.04 cm
0.076,2.3576248399865012e-07,0.009622023704113206,5.04 cm
0.08,2.7169509175058153e-07,0.009559563007529512,5.04 cm
0.084,3.2083101142683616e-07,0.009272999226610857,5.04 cm
0.088,3.3889791611347844e-07,0.009152616982080622,5.04 cm
0.092,3.6952430607150016e-07,0.009071986902492193,5.04 cm
0.096,3.9760486068241354e-07,0.008936673196080581,5.04 cm
0.1,4.165718437415027e-07,0.008884386402814689,5.04 cm
0.105,4.570231470499191e-07,0.00889924096083386,5.04 cm
0.11,5.148289938001453e-07,0.008955926093474465,5.04 cm
0.115,5.952169654085144e-07,0.00895481298496004,5.04 cm
0.12,7.094778926117659e-07,0.008972135950706067,5.04 cm
0.1275,9.483554675019203e-07,0.009244099659362608,5.04 cm
0.135,1.334448960169709e-06,0.009093155362686001,5.04 cm
0.1425,1.6839827929574805e-06,0.008952755919339936,5.04 cm
0.15,1.892371510458055e-06,0.008981677624725919,5.04 cm
0.16,2.4125810364362857e-06,0.008978555506976479,5.04 cm
0.17,3.2859638183577645e-06,0.008949872318692237,5.04 cm
0.18,4.379750882131934e-06,0.009048201225459254,5.04 cm
0.19,5.866395464522516e-06,0.00883890776069023,5.04 cm
0.2,6.813822481994497e-06,0.008697446917559928,5.04 cm
0.21,8.490992303066756e-06,0.00911121523367684,5.04 cm
0.22,1.1734393022668272e-05,0.009126330163346135,5.04 cm
0.23,1.4611205500287446e-05,0.009471716927537305,5.04 cm
0.24,1.820159792440694e-05,0.009156840160715597,5.04 cm
0.255,2.479097419295761e-05,0.00903123979347208,5.04 cm
0.27,3.786259219561202e-05,0.009277008866986793,5.04 cm
0.28,4.783110845355461e-05,0.008970564379360205,5.04 cm
0.3,7.208892493568996e-05,0.008719903616571443,5.04 cm
0.32,0.00013679642287991572,0.008481296500765938,5.04 cm
0.34,0.0002024019603040643,0.008803005312823207,5.04 cm
0.36,0.000358647855040036,0.008282021827794446,5.04 cm
0.38,0.0005333457271189016,0.0080509969018007,5.04 cm
0.4,0.0006663551978503674,0.007878235307469296,5.04 cm
0.425,0.0008141661015373008,0.007630677501802772,5.04 cm
0.45,0.0009339853277919841,0.007307955619090598,5.04 cm
0.475,0.0010340592701049785,0.007024356168894171,5.04 cm
0.5,0.0010864180301232678,0.006863610506494903,5.04 cm
0.525,0.0012421560552668786,0.006740708698283354,5.04 cm
0.55,0.00163112484977828,0.006934602737192623,5.04 cm
0.575,0.002331767096444007,0.0073667798240810425,5.04 cm
0.6,0.0034274355019563016,0.007670059262736131,5.04 cm
0.63,0.005232244628882406,0.007614905605273665,5.04 cm
0.66,0.007398730120346487,0.007303401506183876,5.04 cm
0.69,0.00963471404380171,0.007105921012900038,5.04 cm
0.72,0.013914085322579884,0.007340765683247662,5.04 cm
0.76,0.02468064264983268,0.008364546106232749,5.04 cm
0.8,0.04256451039397264,0.008886338536513314,5.04 cm
0.84,0.05585452158903553,0.008153621536041185,5.04 cm
0.88,0.07091382811033245,0.007713508646778702,5.04 cm
0.92,0.09154051602248658,0.007382249841174304,5.04 cm
0.96,0.12012578921004179,0.007183451059662863,5.04 cm
1.0,0.15167019052702913,0.007192533836726542,5.04 cm
1.1,0.3271127217618474,0.00754960937688381,5.04 cm
1.2,0.6987986584390472,0.007409551252545351,5.04 cm
1.3,1.1375669394663577,0.007147568089116843,5.04 cm
1.4,1.685338585292789,0.006855782186947903,5.04 cm
1.5,2.294985985378302,0.006750731103639424,5.04 cm
1.6,3.041962064653672,0.006686298871225494,5.04 cm
1.7,4.0058253361777,0.006690819865309677,5.04 cm
1.8,5.137294840874123,0.006580303042466515,5.04 cm
1.9,6.3845641732448115,0.006459358313046285,5.04 cm
2.0,7.753430275443446,0.006445664552905051,5.04 cm
2.1,9.319285832394408,0.006491495573389625,5.04 cm
2.2,11.183042122499558,0.006618914694171124,5.04 cm
2.3,13.27761958171677,0.006556954667679106,5.04 cm
2.4,15.522078810686848,0.006528240587217417,5.04 cm
2.5,17.726455266172238,0.006521444982548167,5.04 cm
2.6,20.092172994165132,0.006641069618800241,5.04 cm
2.7,22.580530107481238,0.006624872602254905,5.04 cm
2.8,25.272706965505325,0.006653705243871706,5.04 cm
2.9,27.837990566985514,0.006672629098623604,5.04 cm
3.0,30.57483770667347,0.00663886678411781,5.04 cm
3.1,33.18398993434783,0.0066880849098084364,5.04 cm
3.2,35.62362215018515,0.00662172489470217,5.04 cm
3.3,38.201153008349735,0.006586491795272277,5.04 cm
3.4,40.90171712880242,0.006558349622320144,5.04 cm
3.5,43.498042868961676,0.00650345032638923,5.04 cm
3.6,46.00861464309693,0.006468783324987624,5.04 cm
3.7,48.39356283466918,0.0064576301632664245,5.04 cm
3.8,50.67535696606309,0.006429020419613242,5.04 cm
3.9,52.79981346845132,0.0063944845656496545,5.04 cm
4.0,55.05694163415055,0.00636702383920296,5.04 cm
4.1,57.309718617849526,0.0063597281450706806,5.04 cm
4.2,59.463298846405536,0.0063320878235199355,5.04 cm
4.3,61.65981629797993,0.006318972804349024,5.04 cm
4.4,63.63960410809163,0.0062949603775818,5.04 cm
4.5,65.69487264621398,0.006352367539760208,5.04 cm
4.6,67.49170692306295,0.006338798882547658,5.04 cm
4.7,69.27158132118892,0.00631960654283565,5.04 cm
4.8,71.00414414506304,0.006306658059347097,5.04 cm
4.9,72.59508734775343,0.006298905125742603,5.04 cm
5.0,74.22364811751304,0.00630165672108721,5.04 cm
5.1,75.74925408250007,0.006305401836783382,5.04 cm
5.2,77.14236447034864,0.006298997648977256,5.04 cm
5.3,78.50724083058539,0.006294886253495184,5.04 cm
5.4,79.70091509265274,0.006286251872223723,5.04 cm
5.5,80.763697088521,0.006274243890914105,5.04 cm
5.6,81.92797886131513,0.006267274426696391,5.04 cm
