Time,Value,Error,Energy
2.64e-06,0.03713932754911771,0.0154,0.03493633151026415
2.65e-06,0.03608767849028498,0.0151,0.03467314400701268
2.66e-06,0.03619103806769247,0.0152,0.03441291941819639
2.67e-06,0.03481407969068993,0.0157,0.03415561343511175
2.68e-06,0.03529209839023731,0.016,0.033901182573542916
2.69e-06,0.03358121090144451,0.0157,0.033649584156654484
2.7e-06,0.03331032424906289,0.0155,0.03340077629642379
2.71e-06,0.032717510703119304,0.0159,0.03315471787611639
2.7200000000000002e-06,0.03153287135967901,0.0163,0.032911368534013274
2.73e-06,0.030528273651958874,0.0161,0.032670688645469084
2.74e-06,0.03064297760033949,0.0165,0.03243263930851695
2.75e-06,0.029917968257783777,0.0162,0.03219718232696984
2.7600000000000003e-06,0.0289807201352988,0.0165,0.031964280195190896
2.77e-06,0.02801997917314196,0.017,0.031733896083906914
2.78e-06,0.02667614624558524,0.0179,0.03150599382456141
2.79e-06,0.02621442040252992,0.0183,0.03128053789575401
2.8e-06,0.023580239988932973,0.0183,0.031057493410097017
2.81e-06,0.02271294746839279,0.0191,0.030836826098777134
2.82e-06,0.021468901386256917,0.0192,0.030618502300289688
2.83e-06,0.01963065513742948,0.0205,0.030402488946669373
2.84e-06,0.018061709877079897,0.021,0.030188753551389946
2.8500000000000002e-06,0.016725397111224415,0.0226,0.029977264196220845
2.86e-06,0.01484106281273472,0.0233,0.02976798952100453
2.87e-06,0.013890199860997893,0.0241,0.029560898710304463
2.88e-06,0.012105673209500319,0.0267,0.02935596148318247
2.89e-06,0.01026696574656946,0.0286,0.029153148081307066
2.9e-06,0.008504641865991338,0.0313,0.028952429258939462
2.91e-06,0.006691722181745976,0.0342,0.028753776271876398
2.92e-06,0.00638117753236605,0.0395,0.02855716086764476
2.93e-06,0.004847484517204266,0.0418,0.02836255527444442
2.9400000000000002e-06,0.004298961433114524,0.0458,0.02816993219259461
2.95e-06,0.0035645997715034643,0.0526,0.027979264784311255
2.96e-06,0.0038009571104972955,0.0543,0.027790526664110225
2.97e-06,0.0047854300971107945,0.0476,0.02760369189025368
2.9800000000000003e-06,0.006295970745811524,0.0387,0.027418734955570543
2.99e-06,0.010064262494924061,0.0313,0.02723563077869425
3e-06,0.015048649856105422,0.0241,0.02705435469571773
3.01e-06,0.025308373519117983,0.02,0.02687488245122249
3.02e-06,0.03760821671209824,0.0167,0.026697190191811257
3.0300000000000002e-06,0.05685716702793261,0.014,0.026521254456302563
3.04e-06,0.07864989997342096,0.0124,0.026347052168637478
3.05e-06,0.10079451003019256,0.0115,0.026174560631203624
3.06e-06,0.12698207236962292,0.0111,0.026003757516281485
3.0700000000000003e-06,0.14586274430044352,0.011,0.025834620858951194
3.08e-06,0.16380905913176894,0.0109,0.025667129050833733
3.09e-06,0.1717757188710811,0.0114,0.02550126083216318
3.1e-06,0.17728754877386946,0.0116,0.025336995286153824
3.11e-06,0.1791742007371989,0.0121,0.025174311831281024
3.12e-06,0.17254204443540047,0.0128,0.025013190215439685
3.13e-06,0.16070043417365948,0.0133,0.024853610509685514
3.14e-06,0.153706588764383,0.0144,0.02469555310176762
3.15e-06,0.13500769385185463,0.0153,0.024538998690704257
3.1600000000000002e-06,0.1251022222689495,0.0162,0.024383928279898173
3.17e-06,0.11048820070828427,0.0174,0.024230323171920996
3.18e-06,0.09724624556345585,0.0187,0.024078164963506208
3.19e-06,0.08580744291623674,0.0205,0.02392743553887313
3.2e-06,0.07683551269254324,0.0222,0.02377811706492855
3.21e-06,0.06577227522087953,0.0243,0.02363019198605107
3.22e-06,0.0619329954202025,0.0255,0.02348364301908411
3.23e-06,0.05523478256898465,0.0285,0.023338453147285772
3.24e-06,0.05010060989731514,0.0293,0.023194605616990813
3.2500000000000002e-06,0.04696075877854287,0.0308,0.023052083931351906
3.26e-06,0.04310070204704671,0.0315,0.02291087184637574
3.27e-06,0.04264876934335987,0.0332,0.02277095336591602
3.28e-06,0.04016953661899897,0.0343,0.022632312737500954
3.2900000000000003e-06,0.03931433744977677,0.0345,0.022494934447534868
3.3e-06,0.03836517638391936,0.0347,0.022358803217542945
3.31e-06,0.037945947691083705,0.0354,0.022223903998746974
3.32e-06,0.03713752761131685,0.0358,0.022090221969561834
3.33e-06,0.03621937201781861,0.0348,0.02195774253017124
3.34e-06,0.03559777825815595,0.0369,0.02182645129856385
3.35e-06,0.03414330104183943,0.0363,0.021696334108238405
3.36e-06,0.03507325171911962,0.038,0.02156737700194494
3.37e-06,0.0372184721676058,0.0359,0.02143956623022443
3.3800000000000002e-06,0.03445205165975633,0.0355,0.021312888246193134
3.39e-06,0.03497670582814516,0.0356,0.02118732970241323
3.4e-06,0.034598656425440154,0.0347,0.021062877447763424
3.41e-06,0.03435131371007397,0.0373,0.020939518523683694
3.42e-06,0.03382625508438092,0.0363,0.020817240160628664
3.43e-06,0.033855421931249755,0.038,0.020696029774938205
3.44e-06,0.03246349828375612,0.0373,0.020575874965499452
3.45e-06,0.03412947835610407,0.038,0.020456763511243283
3.46e-06,0.03464817787964091,0.0372,0.02033868336676319
3.4700000000000002e-06,0.03557444187118667,0.0355,0.020221622660229015
3.48e-06,0.03371474644722374,0.0365,0.02010556969046622
3.49e-06,0.035468134095743016,0.0366,0.01999051292320059
3.5e-06,0.03500124835263835,0.0355,0.01987644098897202
3.5100000000000003e-06,0.035693757818969524,0.0359,0.019763342680005107
3.52e-06,0.03690669341016246,0.0362,0.01965120694749702
3.53e-06,0.03257996720466091,0.0362,0.019540022899114006
3.54e-06,0.03495430501882813,0.0364,0.019429779796070638
3.55e-06,0.034930114232370836,0.037,0.019320467050209032
3.5600000000000002e-06,0.03386780453000532,0.0364,0.019212074222538504
3.57e-06,0.032591170593436185,0.0369,0.01910459101968891
3.58e-06,0.03562414529410357,0.0358,0.018998007292033037
3.59e-06,0.03620084670753009,0.0362,0.018892313030765825
3.6000000000000003e-06,0.03567208199532513,0.0365,0.018787498366444017
3.61e-06,0.03495289540391972,0.0365,0.018683553565648128
3.62e-06,0.03558672857525963,0.0365,0.018580469029730703
3.63e-06,0.03615772073615684,0.0369,0.018478235291686934
3.64e-06,0.034298496777430396,0.0375,0.018376843014277028
3.65e-06,0.034035053876470135,0.0361,0.018276282988357217
3.66e-06,0.03734375460985529,0.0402,0.01817654613037623
3.67e-06,0.03536511756323876,0.0377,0.018077623480289056
3.68e-06,0.033207242046419616,0.0374,0.01797950619926206
3.6900000000000002e-06,0.032166315984342025,0.0377,0.01788218556883849
3.7e-06,0.03521026482880609,0.0376,0.017785652987600438
3.71e-06,0.033755238584043765,0.0373,0.017689899970125756
3.72e-06,0.03303073929662522,0.0393,0.017594918145110397
3.7300000000000003e-06,0.03350204374910486,0.0378,0.017500699252864925
3.74e-06,0.03499004964806191,0.0376,0.01740723514427138
3.75e-06,0.035977260347468835,0.0384,0.017314517778697025
3.76e-06,0.03251939982525015,0.0369,0.017222539222325344
3.77e-06,0.033444745484611994,0.0382,0.017131291646487037
3.7800000000000002e-06,0.03224073722762464,0.0395,0.017040767325365146
3.79e-06,0.03285987938025341,0.0389,0.01695095863599505
3.8e-06,0.03614974396158515,0.0375,0.016861858054717828
3.81e-06,0.0353695775103636,0.0393,0.01677345815655439
3.82e-06,0.034084146615170625,0.0377,0.016685751614162348
3.83e-06,0.03610492094517946,0.04,0.016598731195123888
3.8400000000000005e-06,0.03619906885779828,0.0393,0.016512389761528513
3.85e-06,0.03296709909429257,0.039,0.016426720267469542
3.86e-06,0.035106465589619544,0.0382,0.01634171575904411
3.87e-06,0.03399824371979708,0.0385,0.01625736937122378
3.88e-06,0.03372728232642849,0.0389,0.016173674328063187
3.89e-06,0.03244068706285778,0.0392,0.016090623939987878
3.9e-06,0.03467465937163974,0.0383,0.01600821160337709
3.91e-06,0.03228505849810998,0.0404,0.015926430799103355
3.92e-06,0.034982701824384815,0.0392,0.01584527509065487
3.9300000000000005e-06,0.03572251727349138,0.0382,0.015764738123509644
3.94e-06,0.03494914735351138,0.0395,0.015684813624300957
3.95e-06,0.034317891024499524,0.0398,0.015605495397896638
3.96e-06,0.03356200240053767,0.0386,0.015526777328024929
3.97e-06,0.034798924581076696,0.0388,0.0154486533749796
3.98e-06,0.034997857313778254,0.041,0.01537111757541133
3.99e-06,0.03872962975880006,0.0402,0.015294164039615579
4e-06,0.03610203464592549,0.0387,0.015217786952367085
4.01e-06,0.03467993973045362,0.0375,0.015141980570624979
4.0200000000000005e-06,0.03586473995897434,0.0404,0.015066739222072422
4.03e-06,0.03577479303283914,0.0388,0.014992057305742466
4.04e-06,0.03778176752690207,0.038,0.01491792928888868
4.05e-06,0.039392079292523474,0.0393,0.014844349707611027
4.06e-06,0.035116639765127876,0.0403,0.014771313165186858
4.07e-06,0.03789400442035361,0.0386,0.014698814330819161
4.08e-06,0.036649726231450935,0.0383,0.014626847939219308
4.09e-06,0.036581605427039754,0.0398,0.01455540878914668
4.1e-06,0.03850173051514027,0.0395,0.014484491742991408
4.1100000000000005e-06,0.037186047480789464,0.0434,0.014414091725314014
4.12e-06,0.037925472877517026,0.0383,0.014344203722636761
4.13e-06,0.03428367151179198,0.041,0.014274822781357416
4.14e-06,0.04128459637511135,0.0399,0.014205944008166495
4.15e-06,0.038922726438685065,0.0414,0.014137562569004138
4.16e-06,0.03879805592807761,0.0407,0.014069673686765226
4.17e-06,0.03706334195750768,0.041,0.014002272642551133
4.18e-06,0.0358136829444872,0.0386,0.013935354773374852
4.19e-06,0.038683047457963166,0.0394,0.013868915471952365
4.2000000000000004e-06,0.03939086368039783,0.0402,0.013802950185659517
4.21e-06,0.039923961015730654,0.0388,0.013737454416114764
4.22e-06,0.0402460026257185,0.0405,0.013672423717927424
4.23e-06,0.038986247236131776,0.0394,0.01360785369828042
4.24e-06,0.03716785835029203,0.0402,0.01354374001630441
4.25e-06,0.041398668469548566,0.0395,0.01348007838182603
4.26e-06,0.03662205904040123,0.039,0.013416864554950647
4.27e-06,0.04070112059138384,0.0401,0.01335409434585373
4.28e-06,0.04020581819189966,0.0397,0.013291763613320474
4.2900000000000004e-06,0.040231175934480445,0.0416,0.013229868263702671
