Energy,Cells,Value,Error
18.7,36.5,100.0,
18.8,36.5,100.0,
18.9,36.5,100.0,
19.0,36.5,100.0,
19.1,36.5,100.0,
19.2,36.5,100.0,
19.3,36.5,100.0,
19.4,36.5,100.0,
19.5,36.5,100.0,
19.6,36.5,100.0,
19.7,36.5,100.0,
19.8,36.5,100.0,
19.9,36.5,100.0,
20.0,36.5,100.0,
